url_path,views_total,views_unique
/KajaBraz/AdventOfCode2023,14,10
/KajaBraz/AdventOfCode2023/blob/main/day25/solution.py,12,1
/KajaBraz/AdventOfCode2023/blob/main/day18/solution.py,6,3
/KajaBraz/AdventOfCode2023/tree/main/day18,6,3
/KajaBraz/AdventOfCode2023/tree/main/day01,5,1
/KajaBraz/AdventOfCode2023/tree/main/day25,4,1
/KajaBraz/AdventOfCode2023/tree/main/day12,3,1
/KajaBraz/AdventOfCode2023/blob/main/day01/input.txt,2,1
/KajaBraz/AdventOfCode2023/blob/main/day01/sample1.txt,2,1
/KajaBraz/AdventOfCode2023/blob/main/day01/sample2.txt,2,1
