time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-01 00:00:00+00:00,3,3,199,13
2023-12-02 00:00:00+00:00,6,6,48,4
2023-12-03 00:00:00+00:00,5,5,102,5
2023-12-04 00:00:00+00:00,5,5,75,5
2023-12-05 00:00:00+00:00,0,0,68,12
2023-12-06 00:00:00+00:00,4,4,44,5
2023-12-07 00:00:00+00:00,3,3,59,6
2023-12-08 00:00:00+00:00,4,4,89,7
2023-12-09 00:00:00+00:00,4,4,20,2
2023-12-10 00:00:00+00:00,7,6,24,5
2023-12-11 00:00:00+00:00,7,6,83,7
2023-12-12 00:00:00+00:00,3,3,66,6
2023-12-13 00:00:00+00:00,8,6,45,5
2023-12-14 00:00:00+00:00,5,4,23,5
2023-12-15 00:00:00+00:00,9,7,51,3
2023-12-16 00:00:00+00:00,8,7,18,3
2023-12-17 00:00:00+00:00,6,5,12,3
2023-12-18 00:00:00+00:00,8,7,5,1
2023-12-19 00:00:00+00:00,6,5,3,1
2023-12-20 00:00:00+00:00,2,2,1,1
2023-12-21 00:00:00+00:00,5,5,6,2
2023-12-22 00:00:00+00:00,6,5,0,0
2023-12-23 00:00:00+00:00,3,3,0,0
2023-12-24 00:00:00+00:00,5,4,13,2
2023-12-25 00:00:00+00:00,12,10,20,1
2023-12-26 00:00:00+00:00,6,5,2,1
2023-12-27 00:00:00+00:00,3,3,0,0
2023-12-28 00:00:00+00:00,2,2,11,1
2023-12-29 00:00:00+00:00,2,2,5,1
2023-12-30 00:00:00+00:00,3,3,6,1
2023-12-31 00:00:00+00:00,2,2,0,0
2024-01-01 00:00:00+00:00,3,3,0,0
2024-01-02 00:00:00+00:00,2,2,1,1
2024-01-03 00:00:00+00:00,2,2,5,1
2024-01-04 00:00:00+00:00,1,1,0,0
2024-01-05 00:00:00+00:00,2,2,0,0
2024-01-06 00:00:00+00:00,3,3,0,0
2024-01-07 00:00:00+00:00,2,2,0,0
2024-01-08 00:00:00+00:00,4,4,0,0
2024-01-09 00:00:00+00:00,2,2,0,0
2024-01-10 00:00:00+00:00,3,3,0,0
2024-01-11 00:00:00+00:00,3,3,0,0
2024-01-12 00:00:00+00:00,2,2,0,0
2024-01-13 00:00:00+00:00,3,3,0,0
2024-01-14 00:00:00+00:00,2,2,0,0
2024-01-15 00:00:00+00:00,2,2,0,0
